year,month,variable,value,isin
2016,8,logVola,-3.37812245724487,US1667641005
2016,7,logVola,-3.1292108253466,US1667641005
2016,6,logVola,-2.9117472298657,US1667641005
2016,5,logVola,-3.09147422487062,US1667641005
2016,4,logVola,-2.92165277190945,US1667641005
2016,3,logVola,-2.6604263180494,US1667641005
2016,2,logVola,-2.09233177497439,US1667641005
2016,1,logVola,-2.04319782819985,US1667641005
2015,12,logVola,-2.29959108366895,US1667641005
2015,11,logVola,-2.45393459877693,US1667641005
2015,10,logVola,-2.51548213303026,US1667641005
2015,9,logVola,-2.60596733208075,US1667641005
2015,8,logVola,-2.03727951660129,US1667641005
2015,7,logVola,-2.55961631006239,US1667641005
2015,6,logVola,-3.32409799767602,US1667641005
2015,5,logVola,-3.39141439798633,US1667641005
2015,4,logVola,-3.10469468412774,US1667641005
2015,3,logVola,-2.70065226299804,US1667641005
2015,2,logVola,-2.81993048187126,US1667641005
2015,1,logVola,-2.4269365260542,US1667641005
2014,12,logVola,-2.41296448624212,US1667641005
2014,11,logVola,-2.62086285419352,US1667641005
2014,10,logVola,-2.65438773979673,US1667641005
2014,9,logVola,-3.40608223656298,US1667641005
2014,8,logVola,-3.27764783818881,US1667641005
2014,7,logVola,-3.1365556657262,US1667641005
2014,6,logVola,-3.60336127862059,US1667641005
2014,5,logVola,-3.57859808422377,US1667641005
2014,4,logVola,-3.15626382753564,US1667641005
2014,3,logVola,-3.45844500452485,US1667641005
2014,2,logVola,-3.15778130237157,US1667641005
2014,1,logVola,-2.87373781096461,US1667641005
2013,12,logVola,-3.13447789924102,US1667641005
2013,11,logVola,-3.3089417745555,US1667641005
2013,10,logVola,-3.40559462539968,US1667641005
2013,9,logVola,-3.61434861649106,US1667641005
2013,8,logVola,-3.26120948926245,US1667641005
2013,7,logVola,-3.46176899738786,US1667641005
2013,6,logVola,-3.03794125699848,US1667641005
2013,5,logVola,-3.21898519721592,US1667641005
2013,4,logVola,-3.04707933650752,US1667641005
2013,3,logVola,-3.56830927657909,US1667641005
2013,2,logVola,-3.19151400185642,US1667641005
2013,1,logVola,-3.47788856364016,US1667641005
2012,12,logVola,-3.21936393747362,US1667641005
2012,11,logVola,-2.76355790735803,US1667641005
2012,10,logVola,-2.75264870633411,US1667641005
2012,9,logVola,-3.32738727333407,US1667641005
2012,8,logVola,-3.46666936856485,US1667641005
2012,7,logVola,-3.12999669335369,US1667641005
2012,6,logVola,-2.65379664955689,US1667641005
2012,5,logVola,-2.95650048217781,US1667641005
2012,4,logVola,-2.88178872011421,US1667641005
2012,3,logVola,-3.15235461499368,US1667641005
2012,2,logVola,-3.27463224103949,US1667641005
2012,1,logVola,-3.05645008059644,US1667641005
2011,12,logVola,-2.58056931797141,US1667641005
2011,11,logVola,-2.20157518072276,US1667641005
2011,10,logVola,-2.33029163601496,US1667641005
