,logReturn_d2,logVola_d2,logReturn_d1,logVola_d1,logReturnSum,logVolaSum,logReturnDelta,logVolaDelta
63,0.0931830894698488,-2.46360060457518,-0.0129024216421311,-2.94328184738112,0.0802806678277177,-5.4068824519563,0.10608551111197989,0.47968124280594004
67,0.171181885798232,-1.83154996674351,0.110096496932822,-1.94029686812941,0.281278382731054,-3.77184683487292,0.061085388865409984,0.10874690138589993
71,0.0929273681584854,-2.13833430052727,-0.0141951826338509,-2.65107079206107,0.0787321855246345,-4.78940509258834,0.1071225507923363,0.5127364915337997
74,0.199636365812173,-1.7467048636423101,0.0486989743281738,-2.21959374378643,0.2483353401403468,-3.9662986074287403,0.1509373914839992,0.4728888801441198
76,0.17844728343543698,-1.9807997307982002,0.14642904417784197,-2.43756630716788,0.32487632761327895,-4.41836603796608,0.032018239257595005,0.45676657636967977
78,0.157929834934909,-1.7992539722786,0.10123082878890101,-2.14583474687937,0.25916066372381,-3.94508871915797,0.056699006146007994,0.3465807746007701
81,0.20614527095516,-1.22478665401188,0.15281535264007698,-1.60217438785377,0.35896062359523695,-2.82696104186565,0.05332991831508302,0.37738773384189006
85,0.15537535339346803,-1.95954219333069,-0.0460830252679462,-2.44306588463136,0.10929232812552184,-4.40260807796205,0.20145837866141422,0.48352369130066997
89,0.148360333931975,-1.5721311959781799,-0.10746158422969501,-2.30162574505921,0.040898749702279996,-3.8737569410373895,0.25582191816167,0.7294945490810301
90,0.123511239258532,-1.83481220714627,0.153162285160979,-1.86755486900399,0.276673524419511,-3.70236707615026,-0.029651045902446993,0.03274266185772001
91,0.0479767419755749,-2.0809618811436104,-0.0376783855341625,-2.6376638380166,0.010298356441412401,-4.71862571916021,0.0856551275097374,0.5567019568729896
93,0.0993823155193449,-2.38275785601791,-0.106782203690305,-2.0597791574484803,-0.0073998881709601005,-4.44253701346639,0.2061645192096499,-0.32297869856942985
95,0.12228866971466999,-1.9957682188406798,0.0941013505498715,-2.24241509385269,0.2163900202645415,-4.238183312693369,0.028187319164798497,0.2466468750120101
98,0.110096496932822,-1.94029686812941,0.0751508239157268,-2.1162138147334297,0.1852473208485488,-4.0565106828628394,0.0349456730170952,0.1759169466040198
106,-0.0411865758809962,-3.0219724840692996,0.14628029898551903,-2.5531092557966404,0.10509372310452283,-5.57508173986594,-0.18746687486651523,-0.46886322827265925
108,-0.0359387593327326,-2.62890818742763,0.11846157272017802,-2.59162541530084,0.08252281338744541,-5.2205336027284694,-0.15440033205291062,-0.037282772126789876
114,0.161086880369092,-1.24027197549122,0.127281002389005,-1.37947301928992,0.288367882758097,-2.61974499478114,0.033805877980086996,0.13920104379870013
115,0.5576326718673779,-1.0146731090291,0.0227929155060273,-1.38903612368865,0.5804255873734052,-2.40370923271775,0.5348397563613505,0.37436301465955
128,0.0423141787775573,-2.30027401113031,-0.0682854762395084,-2.41636699599935,-0.0259712974619511,-4.71664100712966,0.1105996550170657,0.11609298486904018
130,-0.000781396710197115,-2.72016803062074,-0.0434277206245261,-3.0006492561264904,-0.044209117334723214,-5.720817286747231,0.04264632391432899,0.2804812255057505
132,-0.0048429767476124,-2.3951959957665,0.0135698190604254,-2.7696773684616103,0.008726842312813,-5.164873364228111,-0.0184127958080378,0.37448137269511017
133,-0.0431428141491248,-2.63114619092818,0.0493640446178611,-3.1188958729859304,0.006221230468736301,-5.75004206391411,-0.09250685876698589,0.48774968205775027
134,0.0681083841360491,-2.32332568638304,-0.0617560211942397,-2.70978583549958,0.006352362941809395,-5.03311152188262,0.1298644053302888,0.38646014911654003
136,0.0029186635839791803,-2.31052031701906,0.0030237586523485698,-2.7110139863492,0.00594242223632775,-5.021534303368259,-0.0001050950683693895,0.4004936693301402
137,0.14628029898551903,-2.5531092557966404,-0.0128313713070012,-2.87347910682138,0.13344892767851782,-5.42658836261802,0.15911167029252024,0.32036985102473947
138,0.0651773311342717,-2.11184961872085,0.0218601113138982,-2.69905884013125,0.0870374424481699,-4.8109084588521,0.043317219820373495,0.5872092214103999
140,-0.0567322254964523,-2.38380386810698,-0.0445668623880806,-2.7842881385156697,-0.1012990878845329,-5.16809200662265,-0.012165363108371699,0.4004842704086897
141,-0.0495144602714744,-1.91880517529484,-0.127954182459452,-2.2608467847798797,-0.1774686427309264,-4.17965196007472,0.0784397221879776,0.3420416094850396
144,-0.0530943690050692,-2.42385846876306,-0.0575019685798765,-2.5031787499357003,-0.11059633758494569,-4.927037218698761,0.004407599574807304,0.07932028117264034
145,0.127281002389005,-1.37947301928992,-0.0569807478985857,-2.0965893635942,0.0703002544904193,-3.4760623828841197,0.1842617502875907,0.7171163443042798
147,0.123480048558574,-2.3478449924076403,0.0161347336998091,-2.3716535804279504,0.1396147822583831,-4.71949857283559,0.1073453148587649,0.02380858802031005
148,0.146724474683574,-1.8690554107276,-0.0961113420709291,-2.13842824404014,0.0506131326126449,-4.00748365476774,0.2428358167545031,0.2693728333125398
151,0.126614216879468,-2.6998221184953097,0.0296962212326643,-2.29913469243345,0.1563104381121323,-4.99895681092876,0.0969179956468037,-0.4006874260618596
