,target_logReturn,isUpperQuart,isLowerQuart
203,0.15772918805587,1,0
207,0.0503082307327525,0,0
212,0.0883942901421184,0,0
213,-0.0127176049790464,0,1
215,0.00291814163691301,0,1
217,-0.0478607621636459,0,1
219,-0.0863325218142767,0,1
221,0.09172782791716401,1,0
223,0.0137805095862902,0,0
226,0.0019422426967635898,0,0
228,0.26622660809217497,1,0
231,0.0413733533840433,0,0
233,-0.0121969626492395,0,1
234,0.11458585424590699,1,0
237,-0.00947172183216056,0,1
238,0.0108151205641497,0,0
242,0.0227255623075532,0,0
243,0.0317037578173483,0,0
244,-0.00804776862793189,0,1
245,0.000365898284360344,0,0
249,0.0626168216453265,0,0
250,0.0909879308776191,1,0
253,0.0375266120217233,0,1
254,0.0815102109042987,1,0
258,0.0761249343086059,0,0
259,0.134214851372849,1,0
261,0.0699141029946672,0,0
263,0.0754594611642394,0,0
265,0.0509403196783114,0,0
271,0.0789120679490617,0,0
272,0.08173084974053799,1,0
276,0.0975948336117073,1,0
277,0.0454223752524261,0,0
281,0.00760328449260673,0,0
283,0.0526995809197522,1,0
284,0.0143574449966835,0,0
285,-0.019003431098898,0,0
288,0.0241367759261292,0,0
290,-0.0291574387553245,0,1
291,0.0369493587207585,1,0
295,0.0008388715846148411,0,0
298,0.007192370633780009,0,0
299,-0.0696800467777812,0,1
303,0.0601759355701522,1,0
304,0.0228725473669866,0,0
306,0.0009371123383778,0,0
308,-0.10896168131836201,0,1
309,0.0155397102922254,0,0
311,-0.0285428846400677,0,0
313,-0.0918767770014873,0,0
315,-0.0247899628248545,0,0
316,-0.0148608180800541,1,0
317,-0.16777645217479698,0,1
321,-0.0655048828611686,0,0
328,0.0171184823209624,1,0
330,-0.0340877167601115,0,0
332,-0.0787420853088353,0,0
336,0.0142616650509086,1,0
337,0.0311232368805283,1,0
338,-0.0818363828829764,0,0
339,-0.0706992977495296,0,0
340,-0.0937590136543592,0,1
343,0.0301961480822063,0,0
344,-0.008017408563232091,0,1
360,0.0230462517569186,0,0
361,-0.0278088909417589,0,1
366,0.0242790525695511,0,0
368,-0.0377797860815476,0,1
373,0.0281545225334183,0,0
376,0.0473525109955827,0,0
384,0.0658234082578114,0,0
386,0.117299140289312,1,0
389,0.0828973940278101,1,0
391,0.0861857698797673,1,0
396,-0.0292120898862716,0,1
404,-0.0226047408096057,0,0
406,0.0600942141817526,1,0
408,0.0253509092576386,0,0
409,-0.0339088857494988,0,0
410,-0.0788075531249806,0,1
413,0.0110008758848276,0,0
415,0.0198995123278337,0,0
416,-0.0340261744693518,0,0
420,0.06830598091887201,1,0
421,-0.0607891943738752,0,1
422,-0.158979504635961,0,1
423,-0.0713618834067797,0,1
427,-0.0847256745927863,0,1
428,0.00583144562679298,0,0
436,-0.14173228552804998,0,1
444,-0.118269145074594,0,1
446,-0.0753319627797704,0,0
450,-0.17321421288727898,0,1
453,-0.0332677255900968,1,0
454,-0.10202457016602401,0,0
458,-0.0401172894101679,1,0
460,-0.0256948857970035,1,0
462,-0.11678442120697399,0,0
466,0.00509204249642479,1,0
468,-0.0632390852452109,0,0
471,-0.0575970027951517,0,0
472,-0.0807493891818183,0,1
475,-0.0174100247523906,0,0
476,-0.120403310760896,0,1
478,-0.0145933671445822,0,0
483,0.0205921700659146,1,0
486,-0.05137564227718,0,0
488,-0.0499192704513892,0,0
491,-0.0194824877980186,0,0
492,0.0528926113088331,1,0
495,-0.117925557451576,0,1
499,0.12166300689139099,1,0
508,0.067780523228311,0,0
511,0.0442749021692366,0,1
512,0.0817078143451372,0,0
515,0.139821594138684,1,0
516,0.0722513000410528,0,0
517,0.110116122369467,1,0
518,0.12283796268963801,1,0
527,-0.0372143042766775,0,0
531,-0.0443381098804664,0,0
532,-0.0598844293326026,0,0
535,-0.10061380997661501,0,0
536,-0.00101368483084621,1,0
538,0.038877905620333,1,0
539,-0.17248820763547598,0,1
540,-0.00939623916110489,1,0
544,-0.0865368162742536,0,0
546,-0.10670878025180999,0,1
550,0.0382897534189783,1,0
551,0.008865697528315541,1,0
553,-0.0392711229428727,0,0
555,-0.05791005807301401,0,0
562,0.0515380550929838,0,0
564,0.0443141128478661,0,0
570,0.0567959837998982,0,0
572,0.12531310413698302,1,0
573,-0.000402269490031652,0,1
578,0.19047447798898604,1,0
579,0.00844319188812146,0,1
587,0.0143451069675844,0,1
589,-0.02933953843996,0,1
590,0.0317179229842119,0,0
592,0.007899745210836891,0,1
593,0.0639268079535917,1,0
602,0.0365384316055005,0,0
607,0.0574149879708907,0,0
608,0.0870282007555349,1,0
610,-0.0295924927790152,0,1
612,0.0135856062014137,0,0
620,-0.00862393505678156,0,0
626,-0.00405984286562849,0,0
627,-0.10137569855701199,0,1
632,0.0358260325550015,1,0
633,0.0303004693264849,1,0
638,-0.0324356108175979,0,0
641,-0.0005347427047288389,0,0
643,-0.0675682188921362,0,1
644,0.0112912648684267,0,0
645,-0.00863452241302131,0,0
646,-0.0409076548425604,0,1
649,0.0444538411298035,1,0
653,-0.00702553849661099,0,0
654,0.0983833551366445,1,0
658,0.0511543333793162,0,0
659,0.00290199534414648,0,0
670,0.0594770307726521,1,0
673,-0.0316450972705784,0,1
675,-0.0389917706210521,0,1
677,0.0344740045958261,0,0
679,0.0212794087090971,0,0
681,0.0693491638004327,1,0
682,0.0405185355912535,1,0
689,-0.00662409935152024,0,0
693,-0.0824521509537,0,1
694,0.0288368032661897,0,0
697,-0.0390020075728497,0,1
699,0.0344870741723407,1,0
701,-0.056034235812246,0,1
704,0.00352833361864699,0,0
705,0.0300881342078987,0,0
708,-0.0182998363687706,0,1
719,-0.0803672127609598,0,1
722,0.0177612723738295,0,0
727,0.0234314663491802,0,0
728,0.0377980128296155,1,0
731,0.0534650091710973,1,0
733,0.0300868020406882,0,0
735,-0.0006877667612707031,0,1
736,0.0115301769418059,0,0
739,0.00206332774488565,0,1
740,-0.04297164843707601,0,1
742,0.0244095757077997,0,0
743,-0.0458624247504429,0,1
750,0.00652176224638715,0,0
751,-0.0235797280813989,0,1
753,0.0676198199869604,1,0
754,0.0308307982823151,0,0
755,0.0611799305823707,1,0
757,0.0290155602729045,0,0
759,0.0158972427271977,0,0
762,0.0104576937884728,0,0
766,0.04641514530342599,1,0
771,0.0283483550042549,0,0
773,-0.0079326251263358,0,0
775,-0.0109755040510078,0,1
777,0.0750731267539776,1,0
779,0.0512173942937232,0,0
780,0.0729355926860374,1,0
