,logReturn_d2,logVola_d2,logReturn_d1,logVola_d1,logReturnSum,logVolaSum,logReturnDelta,logVolaDelta
1836,0.0609145862328243,-3.34857528807113,0.0591691679415636,-2.55417431925334,0.12008375417438791,-5.90274960732447,0.0017454182912607016,-0.79440096881779
1837,0.0938994808893549,-3.01793797939834,-0.0746812550419855,-3.0038457675699597,0.019218225847369402,-6.0217837469683,0.1685807359313404,-0.014092211828380385
1839,0.0311481801419364,-3.09079680348575,0.0135097879093555,-3.1082742095575497,0.0446579680512919,-6.1990710130433,0.0176383922325809,0.017477406071799706
1840,0.016408109332111,-2.93407659754825,-0.10391811985936802,-1.93232957067424,-0.08751001052725703,-4.86640616822249,0.12032622919147902,-1.00174702687401
1841,0.0908882113705697,-3.0749585794282104,-0.0496819135173526,-2.8365650880111897,0.0412062978532171,-5.9115236674394005,0.1405701248879223,-0.2383934914170207
1843,0.0176038085570189,-2.8031872329542,-0.0997856439754173,-2.27346251549864,-0.0821818354183984,-5.07664974845284,0.1173894525324362,-0.5297247174555597
1844,0.005373599921862,-3.2490887066605003,-0.023508377808310003,-3.5189523586804103,-0.018134777886448003,-6.768041065340911,0.028881977730172002,0.26986365201991
1846,0.0749812411461036,-3.29620412320718,0.0504735143402149,-2.4635829167042997,0.12545475548631851,-5.75978703991148,0.024507726805888704,-0.8326212065028802
1847,0.0227568832516878,-3.2988208302460498,-0.0944367691176923,-3.17002127091641,-0.0716798858660045,-6.46884210116246,0.1171936523693801,-0.12879955932963982
1848,0.0434675166255911,-3.10202505123307,-0.0749305886205832,-2.9394608837355602,-0.031463071994992105,-6.04148593496863,0.1183981052461743,-0.1625641674975098
1849,-0.0284907761455168,-2.67998958645809,0.0126347848518262,-2.8144670061711,-0.0158559912936906,-5.49445659262919,-0.041125560997343,0.13447741971301008
1850,0.0259857071520145,-3.0612350353360296,-0.0501983528433512,-2.84753760053169,-0.024212645691336705,-5.90877263586772,0.0761840599953657,-0.21369743480433945
1852,-0.0384298060686727,-3.08484944273101,-0.0019731255865338103,-2.83484852701087,-0.04040293165520652,-5.91969796974188,-0.03645668048213889,-0.2500009157201397
