,target_logReturn,isUpperQuart,isLowerQuart
178,0.0503496853983413,0,0
179,0.0231212758330752,0,0
180,-0.0110424422064264,0,1
181,-0.0273442769191959,0,1
182,0.0772173558228776,1,0
183,0.0201751530785814,0,0
185,0.0393308102114652,0,0
186,-0.00375019537716,0,1
187,0.0157241698471007,0,0
188,0.104643103752771,1,0
190,-0.0153602469472858,0,1
191,0.17877689355966603,1,0
192,-0.0375827740457593,0,1
193,0.0843050531322372,0,0
194,0.0511503616943125,0,0
195,-0.00329951860236335,0,1
196,0.0311715956709153,0,0
197,0.164991867243936,1,0
198,-0.0076352783340376,0,1
199,0.109157577091056,1,0
200,0.114500106186021,1,0
201,0.0253744904820915,0,0
204,0.00549891242413874,0,0
205,0.14059983496082099,1,0
206,0.0960045023902159,0,0
208,0.0636007601466482,0,0
209,0.0103221798152078,0,0
210,-0.0875103588610261,0,1
211,0.0247153507467944,0,0
214,0.0670180538276632,0,0
216,0.0692150284652367,0,0
218,-0.0127868445495397,0,1
220,0.106464599716794,1,0
222,-0.00512899214700613,0,1
224,0.0956831527678488,1,0
225,0.0139625475984259,0,0
227,0.0240465512717725,0,0
229,0.0110480579403121,0,0
230,0.0035707337135380797,0,0
232,0.0324247713612983,0,0
235,0.0207006038047401,0,0
236,-0.0505320768523759,0,1
239,0.0707577172723938,1,0
240,0.0432001494657648,0,0
241,0.0457323345003618,0,0
246,0.0633576503232838,1,0
247,0.108447823137885,1,0
248,0.0793695872722665,0,0
251,0.0267166676668137,0,1
252,0.0484508122808144,0,0
255,0.0878101591708203,1,0
256,0.0481964272926155,0,0
257,0.0673844072794649,0,0
260,0.0174531276637352,0,1
262,0.0544824007744081,0,0
264,0.0172412504288945,0,1
266,0.0426997694379345,0,1
267,-0.00393373876737985,0,1
268,0.00814940125282244,0,1
269,-0.00211383772009991,0,1
270,0.159022380072404,1,0
273,0.0513522194251689,0,0
274,0.05607297493943401,0,0
275,0.146996768568131,1,0
278,0.057747884769470986,0,0
279,0.032676692670443,1,0
280,0.0140711092052629,0,0
282,-0.0265324757937176,0,1
286,0.0497849830036872,1,0
287,0.0501029522976767,1,0
289,0.0205234821051896,0,0
292,-0.0187730619677947,0,0
293,0.06753237687716099,1,0
294,-0.0174644219639632,0,0
296,-0.0461201928907791,0,1
297,-0.0469077703439331,0,1
300,-0.0143139303644927,0,0
301,-0.0190676786292558,0,0
302,-0.0356350871992031,0,1
305,-0.0369153460100386,0,1
307,0.0593976441092183,1,0
310,-0.023289760842679,0,0
312,0.0757327977177135,1,0
314,-0.0718390901573679,0,0
318,-0.030947819199679,0,0
319,-0.10851207982749199,0,1
320,-0.05968358364544799,0,0
322,-0.0735198177603398,0,0
323,-0.0501482894815477,0,0
324,-0.10819871582666699,0,1
325,-0.00559061867210471,1,0
326,-0.0942174531409507,0,1
327,-0.10707092353236002,0,1
329,-0.15168848347454802,0,1
331,-0.0956837078558366,0,1
333,-0.0143680844190818,1,0
334,0.0455713580389683,1,0
335,-0.078992153856177,0,0
341,0.0943782526329775,1,0
342,0.0062230548027998,0,0
345,0.0206713953417263,0,0
346,0.053161307309816,1,0
347,0.0109704839747683,0,0
348,-0.0117378651954613,0,1
349,0.00291837492007497,0,0
350,-0.023233736843196,0,1
351,0.0224424596144639,0,0
352,-0.00396173654262802,0,0
353,0.0538210056823097,1,0
354,-0.0310020528312813,0,1
355,0.0495410675236449,1,0
356,0.0078792787578168,0,0
357,0.0680276956699128,1,0
358,0.0747695131020376,1,0
359,0.0367985007204346,0,0
362,0.05736960115637099,1,0
363,-0.0005244807462962951,0,0
364,-0.0586506541867743,0,1
365,0.021796421161866003,0,0
367,0.0205965812339392,0,0
369,0.0566326722982192,1,0
370,-0.0114855559715417,0,1
371,0.0136852656825313,0,0
372,0.0362812768125567,0,0
374,0.12622063791267998,1,0
375,0.0406401987702112,0,0
377,0.0782449387331395,1,0
378,0.0366760371553678,0,0
379,0.0626312666018964,0,0
380,0.0364341712549028,0,0
381,0.0676797771231654,0,0
382,0.0554410978348332,0,0
383,0.0863353281678838,1,0
385,0.040131308164043,0,0
387,0.0419341500645827,0,0
388,0.0565035214111398,0,0
390,0.0221865309778031,0,1
392,0.0460704532885747,0,0
393,0.0663600462508767,0,0
394,0.0832428344015912,1,0
395,-0.0343874548360905,0,1
397,-0.00249243986336771,0,1
398,-0.00378609955093304,0,1
399,0.0123937679947012,0,1
400,0.101516120275023,1,0
401,0.0238702065363129,0,1
402,0.00917915892415647,0,1
403,0.0843557651818558,1,0
405,-0.00770133964345499,0,0
407,-0.0253849407668126,0,0
411,0.055891662135718,1,0
412,-0.0635535655927945,0,1
414,0.0393490948438945,0,0
417,0.10115977945992802,1,0
418,0.0435772313036536,1,0
419,0.0417030378173628,0,0
424,-0.0592682933539332,0,1
425,0.100745533593089,1,0
426,-0.0213074169915015,0,0
429,-0.0115217338845423,0,0
430,-0.0734365034939537,0,1
431,0.0356433360019043,0,0
432,0.00236508986042022,0,0
433,0.0460755069634264,1,0
434,-0.0576671753161434,0,0
435,-0.10474381250152198,0,0
437,-0.10526378178429302,0,0
438,-0.207170061934244,0,1
439,-0.0718275015699886,0,0
440,-0.0552483093256333,0,0
441,-0.0885613232986419,0,0
442,-0.117991462701605,0,1
443,-0.0623328112377852,0,0
445,-0.0915642045205453,0,0
447,-0.044891181868411,1,0
448,-0.0362047706108626,1,0
449,-0.0576761971454359,0,0
451,-0.140705961194135,0,1
452,-0.0345679580468433,1,0
455,-0.0951258811449996,0,0
456,-0.168768566376073,0,1
457,-0.0942185261485257,0,0
459,-0.0288294469603498,1,0
461,-0.0458323482632138,1,0
463,-0.108367967544101,0,0
464,-0.174550205541577,0,1
465,-0.178036585717981,0,1
467,-0.00318347830179635,1,0
469,-0.0104097729671791,0,0
470,-0.0486812846707711,0,0
473,0.0117155104289869,1,0
474,0.0293323207068122,1,0
477,-0.0852050060319392,0,1
479,-0.0363068549131927,0,0
480,-0.00741101274413283,0,0
481,-0.0763222114797741,0,1
482,0.0134069130600946,1,0
484,-0.0775843230801547,0,1
485,-0.181696379123917,0,1
487,0.0174540211022275,1,0
489,-0.0161229985318254,0,0
490,-0.00694095415199959,0,0
493,-0.0564695394512803,0,0
494,-0.0374861237877118,0,0
496,0.0209116690505643,0,1
497,-0.016730408253962,0,1
498,0.0902462373400602,0,0
500,0.00670087579000003,0,1
501,0.0786540301140937,0,0
502,0.0572843220345882,0,0
503,0.0982249116891041,0,0
504,0.0852487167029204,0,0
505,0.116853766892261,1,0
506,0.099128891318915,1,0
507,0.0605822102974602,0,0
509,0.0967087954824584,0,0
510,0.0346862082073518,0,1
513,0.157931988405287,1,0
514,0.0305909392871996,0,1
519,0.0527016387019282,0,0
520,0.0892532615985575,0,0
521,0.0464672748287828,0,0
522,0.0346974179187963,0,1
523,0.000579767681157726,0,1
524,0.067529599977852,0,0
525,0.0528115933652194,0,0
526,0.10833485896694099,1,0
528,-0.0200475859606301,0,0
529,-0.12500709832915302,0,1
530,-0.039780153688303,0,0
533,-0.0191021173190605,1,0
534,-0.0859500346439192,0,0
537,-0.10143000277681699,0,1
541,-0.074299656622181,0,0
542,0.0467526081506117,1,0
543,-0.17470195539239303,0,1
545,-0.0372649080577946,0,0
547,-0.0742048362344039,0,0
548,-0.13559299711362402,0,1
549,-0.120816548192235,0,1
552,-0.0551403805999942,0,0
554,0.00256145627631862,1,0
556,-0.0395081551749109,0,0
557,-0.10995475444012699,0,1
558,0.0998378657915397,1,0
559,0.0610591084586989,0,0
560,0.0660035593981153,0,0
561,0.0542524205342998,0,0
563,0.10899941252854699,1,0
565,0.13295808937869,1,0
566,0.0679967237485329,0,0
567,0.0741786648076873,0,0
568,0.0557135537216251,0,0
569,0.17012072706669698,1,0
571,0.0284470000654746,0,1
574,0.07783706452467401,0,0
575,0.1435314393417,1,0
576,0.042154753836557,0,0
577,0.034049266150081,0,0
580,0.0231075192279067,0,1
581,0.0532308440188723,0,0
582,0.0780984262461874,1,0
583,0.0644291622300476,0,0
584,0.00283833860537634,0,1
585,0.0432972522401128,0,0
586,-0.0123117150001313,0,1
588,0.0243845166428196,0,1
591,0.0554442669816068,0,0
594,0.014723601812538,0,0
595,0.0150669338779155,0,0
596,0.15492745942277802,1,0
597,-0.0395760608187701,0,1
598,0.0019627971222127,0,1
599,0.0499074791133413,0,0
600,0.0722707324260586,1,0
601,0.0370838915233165,0,0
603,0.0632955213741745,1,0
604,0.037335682393714,0,0
605,0.0424441331052395,0,0
606,0.0104076805577393,0,0
609,0.00591950660619058,0,1
611,-0.00296693988831747,0,1
613,0.0173486148472762,0,0
614,0.0570277812742896,0,0
615,0.0627068060476004,1,0
616,-0.00795462874999962,0,1
617,0.0802262409491928,1,0
618,0.0612454291374616,0,0
619,0.0895885461359854,1,0
621,-0.0255458035977835,0,0
622,-0.093971361018762,0,1
623,0.0027819361856335698,0,0
624,-0.0439379110626099,0,1
625,0.0601703918887308,1,0
628,0.00623515522972038,0,0
629,-0.0121096482048409,0,0
630,0.0141602502154834,0,0
631,0.0758988916196566,1,0
634,0.0226551891416604,0,0
635,0.0131437274955888,0,0
636,-0.179184347030525,0,1
637,0.0650751890933307,1,0
639,-0.0319462024801942,0,0
640,0.0281943188355606,1,0
642,0.0391652148570336,1,0
647,-0.0503490240693597,0,1
648,0.013234994573931999,0,0
650,-0.0586808217439374,0,1
651,0.10358457500237199,1,0
652,-0.00917310058948094,0,1
655,-0.0665069501103975,0,1
656,-0.0221293787831131,0,1
657,-0.00863938206858326,0,1
660,0.100776498052774,1,0
661,0.00585994701195129,0,0
662,0.0193527285158147,0,0
663,-0.0211697203240107,0,1
664,0.0164009493127981,0,0
665,0.0192803389209548,0,0
666,-0.0324288197199502,0,1
667,0.0460294176765273,0,0
668,0.0686035404457602,1,0
669,0.0213456911877303,0,0
671,0.0882243511882374,1,0
672,0.10609340042818499,1,0
674,0.0472795429442318,0,0
676,0.0161425361303284,0,0
678,0.038042134832959,0,0
680,0.0247840143455444,0,0
683,-0.0497695200874796,0,1
684,0.0453423138809149,1,0
