year,month,variable,value,isin
2009,12,vola,0.07354060835226368,US0258161092
2009,11,vola,0.08960261671525944,US0258161092
2009,10,vola,0.1191549032644181,US0258161092
2009,9,vola,0.08515582884458958,US0258161092
2009,8,vola,0.10946287418755918,US0258161092
2009,7,vola,0.1581708505551855,US0258161092
2009,6,vola,0.14431018877624155,US0258161092
2009,5,vola,0.2493154981573734,US0258161092
2009,4,vola,0.36252091527949226,US0258161092
2009,3,vola,0.36015890686182855,US0258161092
2009,2,vola,0.26957868706582905,US0258161092
2009,1,vola,0.23777258372563598,US0258161092
2008,12,vola,0.2247873479695705,US0258161092
2008,11,vola,0.3057615907317005,US0258161092
2008,10,vola,0.32839406088554707,US0258161092
2018,9,logReturn,-0.011539436568578438,US0378331005
2018,8,logReturn,0.12544349093590532,US0378331005
2018,7,logReturn,0.016478509473185285,US0378331005
2018,6,logReturn,-0.027336628476788208,US0378331005
2018,5,logReturn,0.10378651495725041,US0378331005
2018,4,logReturn,-0.008556020158927265,US0378331005
2018,3,logReturn,-0.0421326673194935,US0378331005
2018,2,logReturn,0.06382328685881822,US0378331005
2018,1,logReturn,-0.02843975329221256,US0378331005
2017,12,logReturn,-0.01069729834901728,US0378331005
2017,11,logReturn,0.03288749116120805,US0378331005
2017,10,logReturn,0.09441773494935739,US0378331005
2017,9,logReturn,-0.062439679345033236,US0378331005
2017,8,logReturn,0.09294561010035328,US0378331005
2017,7,logReturn,0.03579790284882,US0378331005
2017,6,logReturn,-0.06166140153979372,US0378331005
2017,5,logReturn,0.0453802178791608,US0378331005
2017,4,logReturn,-0.0003476021187441045,US0378331005
2017,3,logReturn,0.02730791319030204,US0378331005
2017,2,logReturn,0.06633037822540706,US0378331005
2017,1,logReturn,0.043796959336508,US0378331005
2016,12,logReturn,0.05620333505083606,US0378331005
2016,11,logReturn,-0.0035619386847739057,US0378331005
2016,10,logReturn,0.009024341245957895,US0378331005
2016,9,logReturn,0.05752790247124692,US0378331005
2016,8,logReturn,0.005840948147264265,US0378331005
2016,7,logReturn,0.08320611218529059,US0378331005
2016,6,logReturn,-0.02947811286326827,US0378331005
2016,5,logReturn,0.0704058041128566,US0378331005
2016,4,logReturn,-0.15986410582842767,US0378331005
2016,3,logReturn,0.08079968438480913,US0378331005
2016,2,logReturn,0.008060752897088842,US0378331005
2016,1,logReturn,-0.07907727213207846,US0378331005
2015,12,logReturn,-0.10864229604866713,US0378331005
2015,11,logReturn,-0.01976178930583669,US0378331005
2015,10,logReturn,0.08666112603975377,US0378331005
2015,9,logReturn,0.023669108225041362,US0378331005
2015,8,logReturn,-0.044638210613912294,US0378331005
2015,7,logReturn,-0.042765671672714896,US0378331005
2015,6,logReturn,-0.039933847149950186,US0378331005
2015,5,logReturn,0.01440387759177957,US0378331005
